loc_code	date	lab_project_id	lab_sample_id	chem_variable	value	units	below_loq	loq	elneutr
BUIP279	1989-09-04	0	10182	Fe	0.0275738585	meq/l	NA	-99	-0.030571
BUIP280	1989-09-04	0	10183	CondL	550	<U+00B5>S/cm	NA	-99	0.009228
BUIP280	1989-09-04	0	10183	Fe	0.0519247986	meq/l	NA	-99	0.009228
BUIP275	1990-06-19	0	10184	CondL	232	<U+00B5>S/cm	NA	-99	-0.408064
BUIP275	1990-06-19	0	10184	Fe	0.0254252462	meq/l	NA	-99	-0.408064
BUIP277	1990-06-19	0	10186	CondL	569	<U+00B5>S/cm	NA	-99	-0.00988
BUIP277	1990-06-19	0	10186	Fe	0.0017905103	meq/l	NA	-99	-0.00988
BUIP278	1990-06-19	0	10187	CondL	512	<U+00B5>S/cm	NA	-99	0.007728
BUIP278	1990-06-19	0	10187	Fe	0.0007162041	meq/l	NA	-99	0.007728
BUIP279	1990-06-19	0	10188	CondL	198	<U+00B5>S/cm	NA	-99	0.023809
BUIP279	1990-06-19	0	10188	Fe	0.0200537153	meq/l	NA	-99	0.023809
BUIP291	1990-06-19	0	10194	CondL	410	<U+00B5>S/cm	NA	-99	0.021372
BUIP291	1990-06-19	0	10194	Fe	0.0075201432	meq/l	NA	-99	0.021372
BUIP292	1990-06-19	0	10195	CondL	629	<U+00B5>S/cm	NA	-99	-0.00492
BUIP292	1990-06-19	0	10195	Fe	0.0003581021	meq/l	NA	-99	-0.00492
BUIP270	1990-06-19	0	10200	CondL	335	<U+00B5>S/cm	NA	-99	-0.184602
BUIP270	1990-06-19	0	10200	Fe	0.0035810206	meq/l	NA	-99	-0.184602
BUIP273	1990-06-19	0	10202	CondL	204	<U+00B5>S/cm	NA	-99	-0.379575
BUIP273	1990-06-19	0	10202	Fe	0.0003581021	meq/l	NA	-99	-0.379575
BUIP270	1990-08-28	0	10208	CondL	399	<U+00B5>S/cm	NA	-99	-0.027787
BUIP270	1990-08-28	0	10208	Fe	0.0007162041	meq/l	NA	-99	-0.027787
BUIP273	1990-08-28	0	10210	CondL	217	<U+00B5>S/cm	NA	-99	-0.202166
BUIP273	1990-08-28	0	10210	Fe	0.0007162041	meq/l	NA	-99	-0.202166
BUIP275	1990-08-28	0	10212	CondL	170	<U+00B5>S/cm	NA	-99	-0.452039
BUIP275	1990-08-28	0	10212	Fe	0.0068039391	meq/l	NA	-99	-0.452039
BUIP277	1990-08-28	0	10214	CondL	539	<U+00B5>S/cm	NA	-99	-0.003528
BUIP277	1990-08-28	0	10214	Fe	0.0014324082	meq/l	NA	-99	-0.003528
BUIP278	1990-08-28	0	10215	CondL	519	<U+00B5>S/cm	NA	-99	0.000265
BUIP278	1990-08-28	0	10215	Fe	0.0010743062	meq/l	NA	-99	0.000265
BUIP279	1990-08-28	0	10216	CondL	159	<U+00B5>S/cm	NA	-99	0.026943
BUIP279	1990-08-28	0	10216	Fe	0.0103849597	meq/l	NA	-99	0.026943
BUIP280	1990-08-28	0	10217	CondL	489	<U+00B5>S/cm	NA	-99	-0.00119
BUIP280	1990-08-28	0	10217	Fe	0.0988361683	meq/l	NA	-99	-0.00119
BUIP281	1990-08-28	0	10218	CondL	383	<U+00B5>S/cm	NA	-99	0.01718
BUIP281	1990-08-28	0	10218	Fe	0.0461951656	meq/l	NA	-99	0.01718
BUIP291	1990-08-28	0	10224	CondL	493	<U+00B5>S/cm	NA	-99	-0.005354
BUIP291	1990-08-28	0	10224	Fe	0.0146821844	meq/l	NA	-99	-0.005354
BUIP292	1990-08-28	0	10225	CondL	528	<U+00B5>S/cm	NA	-99	0.014248
BUIP292	1990-08-28	0	10225	Fe	0.0003581021	meq/l	NA	-99	0.014248
DEMP007	2005-10-20	0	10241	CondL	397	<U+00B5>S/cm	NA	-99	0.065743
DEMP007	2005-10-20	0	10241	Fe	0.6055147717	meq/l	NA	-99	0.065743
HERP001	2000-07-13	0	10268	Fe	0.4655326768	meq/l	NA	-99	-0.067159
HERP001	2001-01-18	0	10269	CondL	860	<U+00B5>S/cm	NA	-99	-0.019728
HERP001	2001-01-18	0	10269	Fe	0.7520143241	meq/l	NA	-99	-0.019728
HERP003	2000-07-13	0	10270	Fe	4.6553267681	meq/l	NA	-99	-0.017119
HERP003	2001-01-15	0	10271	Fe	1.4682184423	meq/l	NA	-99	NA
HERP003	2001-08-07	0	10272	Fe	2.8648164727	meq/l	NA	-99	0.120853
HERP004	2000-07-13	0	10273	Fe	0.006087735	meq/l	NA	-99	-0.157781
HERP004	2001-01-15	0	10274	Fe	0.0204118174	meq/l	NA	-99	NA
HERP005	2000-07-13	0	10275	Fe	0.4297224709	meq/l	NA	-99	-0.23689
HERP005	2001-01-15	0	10276	Fe	0.1504028648	meq/l	NA	-99	NA
HERP005	2001-08-07	0	10277	Fe	0.0537153089	meq/l	NA	-99	-0.018966
HERP006	2000-07-13	0	10278	Fe	0.7520143241	meq/l	NA	-99	-0.015866
HERP006	2001-01-15	0	10279	Fe	0.0186213071	meq/l	NA	-99	NA
HERP009	2000-07-13	0	10288	Fe	0.3401969561	meq/l	NA	-99	-0.078221
VEDP001	2009-12-08	0	10294	CondL	104	<U+00B5>S/cm	NA	-99	-0.025574
VEDP001	2009-12-08	0	10294	Fe	0.1554162936	meq/l	NA	-99	-0.025574
